Country,Date,Measure,value,daily_change
Afghanistan,2020-02-21T00:00:00Z,deaths,0,0
Afghanistan,2020-02-21T00:00:00Z,recovered,0,0
Afghanistan,2020-02-22T00:00:00Z,confirmed,0,0
Afghanistan,2020-02-22T00:00:00Z,deaths,0,0
Afghanistan,2020-02-22T00:00:00Z,recovered,0,0
Afghanistan,2020-02-23T00:00:00Z,confirmed,0,0
Afghanistan,2020-02-23T00:00:00Z,deaths,0,0
Afghanistan,2020-02-23T00:00:00Z,recovered,0,0
Afghanistan,2020-02-24T00:00:00Z,confirmed,1,1
Afghanistan,2020-02-24T00:00:00Z,deaths,0,0
Afghanistan,2020-02-24T00:00:00Z,recovered,0,0
Afghanistan,2020-02-25T00:00:00Z,confirmed,1,0
Afghanistan,2020-02-25T00:00:00Z,deaths,0,0
Afghanistan,2020-02-25T00:00:00Z,recovered,0,0
Afghanistan,2020-02-26T00:00:00Z,confirmed,1,0
Afghanistan,2020-02-26T00:00:00Z,deaths,0,0
Afghanistan,2020-02-26T00:00:00Z,recovered,0,0
Afghanistan,2020-02-27T00:00:00Z,confirmed,1,0
Afghanistan,2020-02-27T00:00:00Z,deaths,0,0
Afghanistan,2020-02-27T00:00:00Z,recovered,0,0
Afghanistan,2020-02-28T00:00:00Z,confirmed,1,0
Afghanistan,2020-02-28T00:00:00Z,deaths,0,0
Afghanistan,2020-02-28T00:00:00Z,recovered,0,0
Afghanistan,2020-02-29T00:00:00Z,confirmed,1,0
Afghanistan,2020-02-29T00:00:00Z,deaths,0,0
Afghanistan,2020-02-29T00:00:00Z,recovered,0,0
Afghanistan,2020-03-01T00:00:00Z,confirmed,1,0
Afghanistan,2020-03-01T00:00:00Z,deaths,0,0
Afghanistan,2020-03-01T00:00:00Z,recovered,0,0
Afghanistan,2020-03-02T00:00:00Z,confirmed,1,0
Afghanistan,2020-03-02T00:00:00Z,deaths,0,0
Afghanistan,2020-03-02T00:00:00Z,recovered,0,0
Afghanistan,2020-03-03T00:00:00Z,confirmed,1,0
Afghanistan,2020-03-03T00:00:00Z,deaths,0,0
Afghanistan,2020-03-03T00:00:00Z,recovered,0,0
Afghanistan,2020-03-04T00:00:00Z,confirmed,1,0
Afghanistan,2020-03-04T00:00:00Z,deaths,0,0
Afghanistan,2020-03-04T00:00:00Z,recovered,0,0
Afghanistan,2020-03-05T00:00:00Z,confirmed,1,0
Afghanistan,2020-03-05T00:00:00Z,deaths,0,0
Afghanistan,2020-03-05T00:00:00Z,recovered,0,0
Afghanistan,2020-03-06T00:00:00Z,confirmed,1,0
Afghanistan,2020-03-06T00:00:00Z,deaths,0,0
Afghanistan,2020-03-06T00:00:00Z,recovered,0,0
Afghanistan,2020-03-07T00:00:00Z,confirmed,1,0
Afghanistan,2020-03-07T00:00:00Z,deaths,0,0
Afghanistan,2020-03-07T00:00:00Z,recovered,0,0
Afghanistan,2020-03-08T00:00:00Z,confirmed,4,3
Afghanistan,2020-03-08T00:00:00Z,deaths,0,0
Afghanistan,2020-03-08T00:00:00Z,recovered,0,0
Afghanistan,2020-03-09T00:00:00Z,confirmed,4,0
Afghanistan,2020-03-09T00:00:00Z,deaths,0,0
Afghanistan,2020-03-09T00:00:00Z,recovered,0,0
Afghanistan,2020-03-10T00:00:00Z,confirmed,5,1
Afghanistan,2020-03-10T00:00:00Z,deaths,0,0
Afghanistan,2020-03-10T00:00:00Z,recovered,0,0
Afghanistan,2020-03-11T00:00:00Z,confirmed,7,2
Afghanistan,2020-03-11T00:00:00Z,deaths,0,0
Afghanistan,2020-03-11T00:00:00Z,recovered,0,0
Afghanistan,2020-03-12T00:00:00Z,confirmed,7,0
Afghanistan,2020-03-12T00:00:00Z,deaths,0,0
Afghanistan,2020-03-12T00:00:00Z,recovered,0,0
Afghanistan,2020-03-13T00:00:00Z,confirmed,7,0
Afghanistan,2020-03-13T00:00:00Z,deaths,0,0
Afghanistan,2020-03-13T00:00:00Z,recovered,0,0
Afghanistan,2020-03-14T00:00:00Z,confirmed,11,4
Afghanistan,2020-03-14T00:00:00Z,deaths,0,0
Afghanistan,2020-03-14T00:00:00Z,recovered,0,0
Afghanistan,2020-03-15T00:00:00Z,confirmed,16,5
Afghanistan,2020-03-15T00:00:00Z,deaths,0,0
Afghanistan,2020-03-15T00:00:00Z,recovered,0,0
Afghanistan,2020-03-16T00:00:00Z,confirmed,21,5
Afghanistan,2020-03-16T00:00:00Z,deaths,0,0
Afghanistan,2020-03-16T00:00:00Z,recovered,1,1
Afghanistan,2020-03-17T00:00:00Z,confirmed,22,1
Afghanistan,2020-03-17T00:00:00Z,deaths,0,0
Afghanistan,2020-03-17T00:00:00Z,recovered,1,0
Afghanistan,2020-03-18T00:00:00Z,confirmed,22,0
Afghanistan,2020-03-18T00:00:00Z,deaths,0,0
Afghanistan,2020-03-18T00:00:00Z,recovered,1,0
Afghanistan,2020-03-19T00:00:00Z,confirmed,22,0
Afghanistan,2020-03-19T00:00:00Z,deaths,0,0
Afghanistan,2020-03-19T00:00:00Z,recovered,1,0
Afghanistan,2020-03-20T00:00:00Z,confirmed,24,2
Afghanistan,2020-03-20T00:00:00Z,deaths,0,0
Afghanistan,2020-03-20T00:00:00Z,recovered,1,0
Afghanistan,2020-03-21T00:00:00Z,confirmed,24,0
Afghanistan,2020-03-21T00:00:00Z,deaths,0,0
Afghanistan,2020-03-21T00:00:00Z,recovered,1,0
Afghanistan,2020-03-22T00:00:00Z,confirmed,40,16
Afghanistan,2020-03-22T00:00:00Z,deaths,1,1
Afghanistan,2020-03-22T00:00:00Z,recovered,1,0
Afghanistan,2020-03-23T00:00:00Z,confirmed,40,0
Afghanistan,2020-03-23T00:00:00Z,deaths,1,0
Afghanistan,2020-03-23T00:00:00Z,recovered,1,0
Afghanistan,2020-03-24T00:00:00Z,confirmed,74,34
Afghanistan,2020-03-24T00:00:00Z,deaths,1,0
Afghanistan,2020-03-24T00:00:00Z,recovered,1,0
Afghanistan,2020-03-25T00:00:00Z,confirmed,84,10
Afghanistan,2020-03-25T00:00:00Z,deaths,2,1
Afghanistan,2020-03-25T00:00:00Z,recovered,2,1
Afghanistan,2020-03-26T00:00:00Z,confirmed,94,10
Afghanistan,2020-03-26T00:00:00Z,deaths,4,2
Afghanistan,2020-03-26T00:00:00Z,recovered,2,0
Afghanistan,2020-03-27T00:00:00Z,confirmed,110,16
Afghanistan,2020-03-27T00:00:00Z,deaths,4,0
Afghanistan,2020-03-27T00:00:00Z,recovered,2,0
Afghanistan,2020-03-28T00:00:00Z,confirmed,110,0
Afghanistan,2020-03-28T00:00:00Z,deaths,4,0
Afghanistan,2020-03-28T00:00:00Z,recovered,2,0
Afghanistan,2020-03-29T00:00:00Z,confirmed,120,10
Afghanistan,2020-03-29T00:00:00Z,deaths,4,0
Afghanistan,2020-03-29T00:00:00Z,recovered,2,0
Afghanistan,2020-03-30T00:00:00Z,confirmed,170,50
Afghanistan,2020-03-30T00:00:00Z,deaths,4,0
Afghanistan,2020-03-30T00:00:00Z,recovered,2,0
Afghanistan,2020-03-31T00:00:00Z,confirmed,174,4
Afghanistan,2020-03-31T00:00:00Z,deaths,4,0
Afghanistan,2020-03-31T00:00:00Z,recovered,5,3
Afghanistan,2020-04-01T00:00:00Z,confirmed,237,63
Afghanistan,2020-04-01T00:00:00Z,deaths,4,0
Afghanistan,2020-04-01T00:00:00Z,recovered,5,0
Afghanistan,2020-04-02T00:00:00Z,confirmed,273,36
Afghanistan,2020-04-02T00:00:00Z,deaths,6,2
Afghanistan,2020-04-02T00:00:00Z,recovered,10,5
Afghanistan,2020-04-03T00:00:00Z,confirmed,281,8
Afghanistan,2020-04-03T00:00:00Z,deaths,6,0
Afghanistan,2020-04-03T00:00:00Z,recovered,10,0
Afghanistan,2020-04-04T00:00:00Z,confirmed,299,18
Afghanistan,2020-04-04T00:00:00Z,deaths,7,1
Afghanistan,2020-04-04T00:00:00Z,recovered,10,0
Afghanistan,2020-04-05T00:00:00Z,confirmed,349,50
Afghanistan,2020-04-05T00:00:00Z,deaths,7,0
Afghanistan,2020-04-05T00:00:00Z,recovered,15,5
Afghanistan,2020-04-06T00:00:00Z,confirmed,367,18
Afghanistan,2020-04-06T00:00:00Z,deaths,11,4
Afghanistan,2020-04-06T00:00:00Z,recovered,18,3
Afghanistan,2020-04-07T00:00:00Z,confirmed,423,56
Afghanistan,2020-04-07T00:00:00Z,deaths,14,3
Afghanistan,2020-04-07T00:00:00Z,recovered,18,0
Afghanistan,2020-04-08T00:00:00Z,confirmed,444,21
Afghanistan,2020-04-08T00:00:00Z,deaths,14,0
Afghanistan,2020-04-08T00:00:00Z,recovered,29,11
Afghanistan,2020-04-09T00:00:00Z,confirmed,484,40
Afghanistan,2020-04-09T00:00:00Z,deaths,15,1
Afghanistan,2020-04-09T00:00:00Z,recovered,32,3
Albania,2020-01-22T00:00:00Z,confirmed,0,0
Albania,2020-01-22T00:00:00Z,deaths,0,0
Albania,2020-01-22T00:00:00Z,recovered,0,0
Albania,2020-01-23T00:00:00Z,confirmed,0,0
Albania,2020-01-23T00:00:00Z,deaths,0,0
Albania,2020-01-23T00:00:00Z,recovered,0,0
Albania,2020-01-24T00:00:00Z,confirmed,0,0
Albania,2020-01-24T00:00:00Z,deaths,0,0
Albania,2020-01-24T00:00:00Z,recovered,0,0
Albania,2020-01-25T00:00:00Z,confirmed,0,0
Albania,2020-01-25T00:00:00Z,deaths,0,0
Albania,2020-01-25T00:00:00Z,recovered,0,0
Albania,2020-01-26T00:00:00Z,confirmed,0,0
Albania,2020-01-26T00:00:00Z,deaths,0,0
Albania,2020-01-26T00:00:00Z,recovered,0,0
Albania,2020-01-27T00:00:00Z,confirmed,0,0
Albania,2020-01-27T00:00:00Z,deaths,0,0
Albania,2020-01-27T00:00:00Z,recovered,0,0
Albania,2020-01-28T00:00:00Z,confirmed,0,0
Albania,2020-01-28T00:00:00Z,deaths,0,0
Albania,2020-01-28T00:00:00Z,recovered,0,0
Albania,2020-01-29T00:00:00Z,confirmed,0,0
Albania,2020-01-29T00:00:00Z,deaths,0,0
Albania,2020-01-29T00:00:00Z,recovered,0,0
Albania,2020-01-30T00:00:00Z,confirmed,0,0
Albania,2020-01-30T00:00:00Z,deaths,0,0
Albania,2020-01-30T00:00:00Z,recovered,0,0
Albania,2020-01-31T00:00:00Z,confirmed,0,0
Albania,2020-01-31T00:00:00Z,deaths,0,0
Albania,2020-01-31T00:00:00Z,recovered,0,0
Albania,2020-02-01T00:00:00Z,confirmed,0,0
Albania,2020-02-01T00:00:00Z,deaths,0,0
Albania,2020-02-01T00:00:00Z,recovered,0,0
Albania,2020-02-02T00:00:00Z,confirmed,0,0
Albania,2020-02-02T00:00:00Z,deaths,0,0
Albania,2020-02-02T00:00:00Z,recovered,0,0
Albania,2020-02-03T00:00:00Z,confirmed,0,0
Albania,2020-02-03T00:00:00Z,deaths,0,0
Albania,2020-02-03T00:00:00Z,recovered,0,0
Albania,2020-02-04T00:00:00Z,confirmed,0,0
Albania,2020-02-04T00:00:00Z,deaths,0,0
Albania,2020-02-04T00:00:00Z,recovered,0,0
Albania,2020-02-05T00:00:00Z,confirmed,0,0
Albania,2020-02-05T00:00:00Z,deaths,0,0
Albania,2020-02-05T00:00:00Z,recovered,0,0
Albania,2020-02-06T00:00:00Z,confirmed,0,0
Albania,2020-02-06T00:00:00Z,deaths,0,0
Albania,2020-02-06T00:00:00Z,recovered,0,0
Albania,2020-02-07T00:00:00Z,confirmed,0,0
Albania,2020-02-07T00:00:00Z,deaths,0,0
Albania,2020-02-07T00:00:00Z,recovered,0,0
Albania,2020-02-08T00:00:00Z,confirmed,0,0
Albania,2020-02-08T00:00:00Z,deaths,0,0
Albania,2020-02-08T00:00:00Z,recovered,0,0
Albania,2020-02-09T00:00:00Z,confirmed,0,0
Albania,2020-02-09T00:00:00Z,deaths,0,0
Albania,2020-02-09T00:00:00Z,recovered,0,0
