Date,Country,State,Measure,value,daily_change
2020-01-22T00:00:00Z,Bulgaria,NA,deaths,0,0
2020-01-22T00:00:00Z,Bulgaria,NA,recovered,0,0
2020-01-22T00:00:00Z,Burkina Faso,NA,confirmed,0,0
2020-01-22T00:00:00Z,Burkina Faso,NA,deaths,0,0
2020-01-22T00:00:00Z,Burkina Faso,NA,recovered,0,0
2020-01-22T00:00:00Z,Burma,NA,confirmed,0,0
2020-01-22T00:00:00Z,Burma,NA,deaths,0,0
2020-01-22T00:00:00Z,Burma,NA,recovered,0,0
2020-01-22T00:00:00Z,Burundi,NA,confirmed,0,0
2020-01-22T00:00:00Z,Burundi,NA,deaths,0,0
2020-01-22T00:00:00Z,Burundi,NA,recovered,0,0
2020-01-22T00:00:00Z,Cabo Verde,NA,confirmed,0,0
2020-01-22T00:00:00Z,Cabo Verde,NA,deaths,0,0
2020-01-22T00:00:00Z,Cabo Verde,NA,recovered,0,0
2020-01-22T00:00:00Z,Cambodia,NA,confirmed,0,0
2020-01-22T00:00:00Z,Cambodia,NA,deaths,0,0
2020-01-22T00:00:00Z,Cambodia,NA,recovered,0,0
2020-01-22T00:00:00Z,Cameroon,NA,confirmed,0,0
2020-01-22T00:00:00Z,Cameroon,NA,deaths,0,0
2020-01-22T00:00:00Z,Cameroon,NA,recovered,0,0
2020-01-22T00:00:00Z,Canada,Alberta,confirmed,0,0
2020-01-22T00:00:00Z,Canada,Alberta,deaths,0,0
2020-01-22T00:00:00Z,Canada,British Columbia,confirmed,0,0
2020-01-22T00:00:00Z,Canada,British Columbia,deaths,0,0
2020-01-22T00:00:00Z,Canada,Diamond Princess,confirmed,0,0
2020-01-22T00:00:00Z,Canada,Diamond Princess,deaths,0,0
2020-01-22T00:00:00Z,Canada,Grand Princess,confirmed,0,0
2020-01-22T00:00:00Z,Canada,Grand Princess,deaths,0,0
2020-01-22T00:00:00Z,Canada,Manitoba,confirmed,0,0
2020-01-22T00:00:00Z,Canada,Manitoba,deaths,0,0
2020-01-22T00:00:00Z,Canada,New Brunswick,confirmed,0,0
2020-01-22T00:00:00Z,Canada,New Brunswick,deaths,0,0
2020-01-22T00:00:00Z,Canada,Newfoundland and Labrador,confirmed,0,0
2020-01-22T00:00:00Z,Canada,Newfoundland and Labrador,deaths,0,0
2020-01-22T00:00:00Z,Canada,Northwest Territories,confirmed,0,0
2020-01-22T00:00:00Z,Canada,Northwest Territories,deaths,0,0
2020-01-22T00:00:00Z,Canada,Nova Scotia,confirmed,0,0
2020-01-22T00:00:00Z,Canada,Nova Scotia,deaths,0,0
2020-01-22T00:00:00Z,Canada,Ontario,confirmed,0,0
2020-01-22T00:00:00Z,Canada,Ontario,deaths,0,0
2020-01-22T00:00:00Z,Canada,Prince Edward Island,confirmed,0,0
2020-01-22T00:00:00Z,Canada,Prince Edward Island,deaths,0,0
2020-01-22T00:00:00Z,Canada,Quebec,confirmed,0,0
2020-01-22T00:00:00Z,Canada,Quebec,deaths,0,0
2020-01-22T00:00:00Z,Canada,Recovered,confirmed,0,0
2020-01-22T00:00:00Z,Canada,Recovered,deaths,0,0
2020-01-22T00:00:00Z,Canada,Saskatchewan,confirmed,0,0
2020-01-22T00:00:00Z,Canada,Saskatchewan,deaths,0,0
2020-01-22T00:00:00Z,Canada,Yukon,confirmed,0,0
2020-01-22T00:00:00Z,Canada,Yukon,deaths,0,0
2020-01-22T00:00:00Z,Canada,NA,recovered,0,0
2020-01-22T00:00:00Z,Central African Republic,NA,confirmed,0,0
2020-01-22T00:00:00Z,Central African Republic,NA,deaths,0,0
2020-01-22T00:00:00Z,Central African Republic,NA,recovered,0,0
2020-01-22T00:00:00Z,Chad,NA,confirmed,0,0
2020-01-22T00:00:00Z,Chad,NA,deaths,0,0
2020-01-22T00:00:00Z,Chad,NA,recovered,0,0
2020-01-22T00:00:00Z,Chile,NA,confirmed,0,0
2020-01-22T00:00:00Z,Chile,NA,deaths,0,0
2020-01-22T00:00:00Z,Chile,NA,recovered,0,0
2020-01-22T00:00:00Z,China,Anhui,confirmed,1,1
2020-01-22T00:00:00Z,China,Anhui,deaths,0,0
2020-01-22T00:00:00Z,China,Anhui,recovered,0,0
2020-01-22T00:00:00Z,China,Beijing,confirmed,14,14
2020-01-22T00:00:00Z,China,Beijing,deaths,0,0
2020-01-22T00:00:00Z,China,Beijing,recovered,0,0
2020-01-22T00:00:00Z,China,Chongqing,confirmed,6,6
2020-01-22T00:00:00Z,China,Chongqing,deaths,0,0
2020-01-22T00:00:00Z,China,Chongqing,recovered,0,0
2020-01-22T00:00:00Z,China,Fujian,confirmed,1,1
2020-01-22T00:00:00Z,China,Fujian,deaths,0,0
2020-01-22T00:00:00Z,China,Fujian,recovered,0,0
2020-01-22T00:00:00Z,China,Gansu,confirmed,0,0
2020-01-22T00:00:00Z,China,Gansu,deaths,0,0
2020-01-22T00:00:00Z,China,Gansu,recovered,0,0
2020-01-22T00:00:00Z,China,Guangdong,confirmed,26,26
2020-01-22T00:00:00Z,China,Guangdong,deaths,0,0
2020-01-22T00:00:00Z,China,Guangdong,recovered,0,0
2020-01-22T00:00:00Z,China,Guangxi,confirmed,2,2
2020-01-22T00:00:00Z,China,Guangxi,deaths,0,0
2020-01-22T00:00:00Z,China,Guangxi,recovered,0,0
2020-01-22T00:00:00Z,China,Guizhou,confirmed,1,1
2020-01-22T00:00:00Z,China,Guizhou,deaths,0,0
2020-01-22T00:00:00Z,China,Guizhou,recovered,0,0
2020-01-22T00:00:00Z,China,Hainan,confirmed,4,4
2020-01-22T00:00:00Z,China,Hainan,deaths,0,0
2020-01-22T00:00:00Z,China,Hainan,recovered,0,0
2020-01-22T00:00:00Z,China,Hebei,confirmed,1,1
2020-01-22T00:00:00Z,China,Hebei,deaths,0,0
2020-01-22T00:00:00Z,China,Hebei,recovered,0,0
2020-01-22T00:00:00Z,China,Heilongjiang,confirmed,0,0
2020-01-22T00:00:00Z,China,Heilongjiang,deaths,0,0
2020-01-22T00:00:00Z,China,Heilongjiang,recovered,0,0
2020-01-22T00:00:00Z,China,Henan,confirmed,5,5
2020-01-22T00:00:00Z,China,Henan,deaths,0,0
2020-01-22T00:00:00Z,China,Henan,recovered,0,0
2020-01-22T00:00:00Z,China,Hong Kong,confirmed,0,0
2020-01-22T00:00:00Z,China,Hong Kong,deaths,0,0
2020-01-22T00:00:00Z,China,Hong Kong,recovered,0,0
2020-01-22T00:00:00Z,China,Hubei,confirmed,444,444
2020-01-22T00:00:00Z,China,Hubei,deaths,17,17
2020-01-22T00:00:00Z,China,Hubei,recovered,28,28
2020-01-22T00:00:00Z,China,Hunan,confirmed,4,4
2020-01-22T00:00:00Z,China,Hunan,deaths,0,0
2020-01-22T00:00:00Z,China,Hunan,recovered,0,0
2020-01-22T00:00:00Z,China,Inner Mongolia,confirmed,0,0
2020-01-22T00:00:00Z,China,Inner Mongolia,deaths,0,0
2020-01-22T00:00:00Z,China,Inner Mongolia,recovered,0,0
2020-01-22T00:00:00Z,China,Jiangsu,confirmed,1,1
2020-01-22T00:00:00Z,China,Jiangsu,deaths,0,0
2020-01-22T00:00:00Z,China,Jiangsu,recovered,0,0
2020-01-22T00:00:00Z,China,Jiangxi,confirmed,2,2
2020-01-22T00:00:00Z,China,Jiangxi,deaths,0,0
2020-01-22T00:00:00Z,China,Jiangxi,recovered,0,0
2020-01-22T00:00:00Z,China,Jilin,confirmed,0,0
2020-01-22T00:00:00Z,China,Jilin,deaths,0,0
2020-01-22T00:00:00Z,China,Jilin,recovered,0,0
2020-01-22T00:00:00Z,China,Liaoning,confirmed,2,2
2020-01-22T00:00:00Z,China,Liaoning,deaths,0,0
2020-01-22T00:00:00Z,China,Liaoning,recovered,0,0
2020-01-22T00:00:00Z,China,Macau,confirmed,1,1
2020-01-22T00:00:00Z,China,Macau,deaths,0,0
2020-01-22T00:00:00Z,China,Macau,recovered,0,0
2020-01-22T00:00:00Z,China,Ningxia,confirmed,1,1
2020-01-22T00:00:00Z,China,Ningxia,deaths,0,0
2020-01-22T00:00:00Z,China,Ningxia,recovered,0,0
2020-01-22T00:00:00Z,China,Qinghai,confirmed,0,0
2020-01-22T00:00:00Z,China,Qinghai,deaths,0,0
2020-01-22T00:00:00Z,China,Qinghai,recovered,0,0
2020-01-22T00:00:00Z,China,Shaanxi,confirmed,0,0
2020-01-22T00:00:00Z,China,Shaanxi,deaths,0,0
2020-01-22T00:00:00Z,China,Shaanxi,recovered,0,0
2020-01-22T00:00:00Z,China,Shandong,confirmed,2,2
2020-01-22T00:00:00Z,China,Shandong,deaths,0,0
2020-01-22T00:00:00Z,China,Shandong,recovered,0,0
2020-01-22T00:00:00Z,China,Shanghai,confirmed,9,9
2020-01-22T00:00:00Z,China,Shanghai,deaths,0,0
2020-01-22T00:00:00Z,China,Shanghai,recovered,0,0
2020-01-22T00:00:00Z,China,Shanxi,confirmed,1,1
2020-01-22T00:00:00Z,China,Shanxi,deaths,0,0
2020-01-22T00:00:00Z,China,Shanxi,recovered,0,0
2020-01-22T00:00:00Z,China,Sichuan,confirmed,5,5
2020-01-22T00:00:00Z,China,Sichuan,deaths,0,0
2020-01-22T00:00:00Z,China,Sichuan,recovered,0,0
2020-01-22T00:00:00Z,China,Tianjin,confirmed,4,4
2020-01-22T00:00:00Z,China,Tianjin,deaths,0,0
2020-01-22T00:00:00Z,China,Tianjin,recovered,0,0
2020-01-22T00:00:00Z,China,Tibet,confirmed,0,0
2020-01-22T00:00:00Z,China,Tibet,deaths,0,0
2020-01-22T00:00:00Z,China,Tibet,recovered,0,0
2020-01-22T00:00:00Z,China,Xinjiang,confirmed,0,0
2020-01-22T00:00:00Z,China,Xinjiang,deaths,0,0
2020-01-22T00:00:00Z,China,Xinjiang,recovered,0,0
2020-01-22T00:00:00Z,China,Yunnan,confirmed,1,1
2020-01-22T00:00:00Z,China,Yunnan,deaths,0,0
2020-01-22T00:00:00Z,China,Yunnan,recovered,0,0
2020-01-22T00:00:00Z,China,Zhejiang,confirmed,10,10
2020-01-22T00:00:00Z,China,Zhejiang,deaths,0,0
2020-01-22T00:00:00Z,China,Zhejiang,recovered,0,0
2020-01-22T00:00:00Z,Colombia,NA,confirmed,0,0
2020-01-22T00:00:00Z,Colombia,NA,deaths,0,0
2020-01-22T00:00:00Z,Colombia,NA,recovered,0,0
2020-01-22T00:00:00Z,Congo (Brazzaville),NA,confirmed,0,0
2020-01-22T00:00:00Z,Congo (Brazzaville),NA,deaths,0,0
2020-01-22T00:00:00Z,Congo (Brazzaville),NA,recovered,0,0
2020-01-22T00:00:00Z,Congo (Kinshasa),NA,confirmed,0,0
2020-01-22T00:00:00Z,Congo (Kinshasa),NA,deaths,0,0
2020-01-22T00:00:00Z,Congo (Kinshasa),NA,recovered,0,0
2020-01-22T00:00:00Z,Costa Rica,NA,confirmed,0,0
2020-01-22T00:00:00Z,Costa Rica,NA,deaths,0,0
2020-01-22T00:00:00Z,Costa Rica,NA,recovered,0,0
2020-01-22T00:00:00Z,Cote d'Ivoire,NA,confirmed,0,0
2020-01-22T00:00:00Z,Cote d'Ivoire,NA,deaths,0,0
2020-01-22T00:00:00Z,Cote d'Ivoire,NA,recovered,0,0
2020-01-22T00:00:00Z,Croatia,NA,confirmed,0,0
2020-01-22T00:00:00Z,Croatia,NA,deaths,0,0
2020-01-22T00:00:00Z,Croatia,NA,recovered,0,0
2020-01-22T00:00:00Z,Cuba,NA,confirmed,0,0
2020-01-22T00:00:00Z,Cuba,NA,deaths,0,0
2020-01-22T00:00:00Z,Cuba,NA,recovered,0,0
2020-01-22T00:00:00Z,Cyprus,NA,confirmed,0,0
2020-01-22T00:00:00Z,Cyprus,NA,deaths,0,0
2020-01-22T00:00:00Z,Cyprus,NA,recovered,0,0
2020-01-22T00:00:00Z,Czechia,NA,confirmed,0,0
2020-01-22T00:00:00Z,Czechia,NA,deaths,0,0
2020-01-22T00:00:00Z,Czechia,NA,recovered,0,0
2020-01-22T00:00:00Z,Denmark,Faroe Islands,confirmed,0,0
2020-01-22T00:00:00Z,Denmark,Faroe Islands,deaths,0,0
2020-01-22T00:00:00Z,Denmark,Faroe Islands,recovered,0,0
2020-01-22T00:00:00Z,Denmark,Greenland,confirmed,0,0
2020-01-22T00:00:00Z,Denmark,Greenland,deaths,0,0
2020-01-22T00:00:00Z,Denmark,Greenland,recovered,0,0
2020-01-22T00:00:00Z,Denmark,NA,confirmed,0,0
2020-01-22T00:00:00Z,Denmark,NA,deaths,0,0
2020-01-22T00:00:00Z,Denmark,NA,recovered,0,0
2020-01-22T00:00:00Z,Diamond Princess,NA,confirmed,0,0
2020-01-22T00:00:00Z,Diamond Princess,NA,deaths,0,0
2020-01-22T00:00:00Z,Diamond Princess,NA,recovered,0,0
2020-01-22T00:00:00Z,Djibouti,NA,confirmed,0,0
2020-01-22T00:00:00Z,Djibouti,NA,deaths,0,0
2020-01-22T00:00:00Z,Djibouti,NA,recovered,0,0
2020-01-22T00:00:00Z,Dominica,NA,confirmed,0,0
2020-01-22T00:00:00Z,Dominica,NA,deaths,0,0
2020-01-22T00:00:00Z,Dominica,NA,recovered,0,0
2020-01-22T00:00:00Z,Dominican Republic,NA,confirmed,0,0
2020-01-22T00:00:00Z,Dominican Republic,NA,deaths,0,0
2020-01-22T00:00:00Z,Dominican Republic,NA,recovered,0,0
2020-01-22T00:00:00Z,Ecuador,NA,confirmed,0,0
2020-01-22T00:00:00Z,Ecuador,NA,deaths,0,0
2020-01-22T00:00:00Z,Ecuador,NA,recovered,0,0
2020-01-22T00:00:00Z,Egypt,NA,confirmed,0,0
2020-01-22T00:00:00Z,Egypt,NA,deaths,0,0
2020-01-22T00:00:00Z,Egypt,NA,recovered,0,0
2020-01-22T00:00:00Z,El Salvador,NA,confirmed,0,0
2020-01-22T00:00:00Z,El Salvador,NA,deaths,0,0
2020-01-22T00:00:00Z,El Salvador,NA,recovered,0,0
2020-01-22T00:00:00Z,Equatorial Guinea,NA,confirmed,0,0
2020-01-22T00:00:00Z,Equatorial Guinea,NA,deaths,0,0
2020-01-22T00:00:00Z,Equatorial Guinea,NA,recovered,0,0
2020-01-22T00:00:00Z,Eritrea,NA,confirmed,0,0
2020-01-22T00:00:00Z,Eritrea,NA,deaths,0,0
2020-01-22T00:00:00Z,Eritrea,NA,recovered,0,0
2020-01-22T00:00:00Z,Estonia,NA,confirmed,0,0
2020-01-22T00:00:00Z,Estonia,NA,deaths,0,0
2020-01-22T00:00:00Z,Estonia,NA,recovered,0,0
2020-01-22T00:00:00Z,Eswatini,NA,confirmed,0,0
2020-01-22T00:00:00Z,Eswatini,NA,deaths,0,0
2020-01-22T00:00:00Z,Eswatini,NA,recovered,0,0
2020-01-22T00:00:00Z,Ethiopia,NA,confirmed,0,0
2020-01-22T00:00:00Z,Ethiopia,NA,deaths,0,0
2020-01-22T00:00:00Z,Ethiopia,NA,recovered,0,0
2020-01-22T00:00:00Z,Fiji,NA,confirmed,0,0
2020-01-22T00:00:00Z,Fiji,NA,deaths,0,0
2020-01-22T00:00:00Z,Fiji,NA,recovered,0,0
2020-01-22T00:00:00Z,Finland,NA,confirmed,0,0
2020-01-22T00:00:00Z,Finland,NA,deaths,0,0
2020-01-22T00:00:00Z,Finland,NA,recovered,0,0
2020-01-22T00:00:00Z,France,French Guiana,confirmed,0,0
2020-01-22T00:00:00Z,France,French Guiana,deaths,0,0
2020-01-22T00:00:00Z,France,French Guiana,recovered,0,0
2020-01-22T00:00:00Z,France,French Polynesia,confirmed,0,0
2020-01-22T00:00:00Z,France,French Polynesia,deaths,0,0
2020-01-22T00:00:00Z,France,French Polynesia,recovered,0,0
2020-01-22T00:00:00Z,France,Guadeloupe,confirmed,0,0
2020-01-22T00:00:00Z,France,Guadeloupe,deaths,0,0
2020-01-22T00:00:00Z,France,Guadeloupe,recovered,0,0
2020-01-22T00:00:00Z,France,Martinique,confirmed,0,0
2020-01-22T00:00:00Z,France,Martinique,deaths,0,0
2020-01-22T00:00:00Z,France,Martinique,recovered,0,0
2020-01-22T00:00:00Z,France,Mayotte,confirmed,0,0
2020-01-22T00:00:00Z,France,Mayotte,deaths,0,0
2020-01-22T00:00:00Z,France,Mayotte,recovered,0,0
2020-01-22T00:00:00Z,France,New Caledonia,confirmed,0,0
2020-01-22T00:00:00Z,France,New Caledonia,deaths,0,0
2020-01-22T00:00:00Z,France,New Caledonia,recovered,0,0
2020-01-22T00:00:00Z,France,Reunion,confirmed,0,0
2020-01-22T00:00:00Z,France,Reunion,deaths,0,0
2020-01-22T00:00:00Z,France,Reunion,recovered,0,0
2020-01-22T00:00:00Z,France,Saint Barthelemy,confirmed,0,0
2020-01-22T00:00:00Z,France,Saint Barthelemy,deaths,0,0
2020-01-22T00:00:00Z,France,Saint Barthelemy,recovered,0,0
2020-01-22T00:00:00Z,France,Saint Pierre and Miquelon,confirmed,0,0
2020-01-22T00:00:00Z,France,Saint Pierre and Miquelon,deaths,0,0
2020-01-22T00:00:00Z,France,Saint Pierre and Miquelon,recovered,0,0
2020-01-22T00:00:00Z,France,St Martin,confirmed,0,0
2020-01-22T00:00:00Z,France,St Martin,deaths,0,0
2020-01-22T00:00:00Z,France,St Martin,recovered,0,0
2020-01-22T00:00:00Z,France,NA,confirmed,0,0
2020-01-22T00:00:00Z,France,NA,deaths,0,0
2020-01-22T00:00:00Z,France,NA,recovered,0,0
2020-01-22T00:00:00Z,Gabon,NA,confirmed,0,0
2020-01-22T00:00:00Z,Gabon,NA,deaths,0,0
2020-01-22T00:00:00Z,Gabon,NA,recovered,0,0
2020-01-22T00:00:00Z,Gambia,NA,confirmed,0,0
2020-01-22T00:00:00Z,Gambia,NA,deaths,0,0
2020-01-22T00:00:00Z,Gambia,NA,recovered,0,0
2020-01-22T00:00:00Z,Georgia,NA,confirmed,0,0
2020-01-22T00:00:00Z,Georgia,NA,deaths,0,0
2020-01-22T00:00:00Z,Georgia,NA,recovered,0,0
2020-01-22T00:00:00Z,Germany,NA,confirmed,0,0
2020-01-22T00:00:00Z,Germany,NA,deaths,0,0
2020-01-22T00:00:00Z,Germany,NA,recovered,0,0
2020-01-22T00:00:00Z,Ghana,NA,confirmed,0,0
2020-01-22T00:00:00Z,Ghana,NA,deaths,0,0
2020-01-22T00:00:00Z,Ghana,NA,recovered,0,0
2020-01-22T00:00:00Z,Greece,NA,confirmed,0,0
2020-01-22T00:00:00Z,Greece,NA,deaths,0,0
2020-01-22T00:00:00Z,Greece,NA,recovered,0,0
2020-01-22T00:00:00Z,Grenada,NA,confirmed,0,0
2020-01-22T00:00:00Z,Grenada,NA,deaths,0,0
2020-01-22T00:00:00Z,Grenada,NA,recovered,0,0
2020-01-22T00:00:00Z,Guatemala,NA,confirmed,0,0
2020-01-22T00:00:00Z,Guatemala,NA,deaths,0,0
2020-01-22T00:00:00Z,Guatemala,NA,recovered,0,0
2020-01-22T00:00:00Z,Guinea,NA,confirmed,0,0
2020-01-22T00:00:00Z,Guinea,NA,deaths,0,0
2020-01-22T00:00:00Z,Guinea,NA,recovered,0,0
2020-01-22T00:00:00Z,Guinea-Bissau,NA,confirmed,0,0
2020-01-22T00:00:00Z,Guinea-Bissau,NA,deaths,0,0
2020-01-22T00:00:00Z,Guinea-Bissau,NA,recovered,0,0
2020-01-22T00:00:00Z,Guyana,NA,confirmed,0,0
2020-01-22T00:00:00Z,Guyana,NA,deaths,0,0
2020-01-22T00:00:00Z,Guyana,NA,recovered,0,0
2020-01-22T00:00:00Z,Haiti,NA,confirmed,0,0
2020-01-22T00:00:00Z,Haiti,NA,deaths,0,0
2020-01-22T00:00:00Z,Haiti,NA,recovered,0,0
2020-01-22T00:00:00Z,Holy See,NA,confirmed,0,0
2020-01-22T00:00:00Z,Holy See,NA,deaths,0,0
2020-01-22T00:00:00Z,Holy See,NA,recovered,0,0
2020-01-22T00:00:00Z,Honduras,NA,confirmed,0,0
2020-01-22T00:00:00Z,Honduras,NA,deaths,0,0
